Model,Accuracy,Precision,Recall,F1 Score,F2 Score,Training Time (s)
Logistic_Reg_C0.1,0.6636646471262486,0.6611096166645887,0.6636646471262486,0.6605715247005509,0.6620018501232308,0.29231739044189453
Logistic_Reg_C1.0,0.6635827738660554,0.6610323666459771,0.6635827738660554,0.6605210500053791,0.6619392450441774,0.28623080253601074
Logistic_Reg_C10.0,0.6633371540854757,0.6607794522506393,0.6633371540854757,0.6602667699794004,0.6616890037909945,0.29492616653442383
Extra_Trees_n50,1.0,1.0,1.0,1.0,1.0,0.6081929206848145
Extra_Trees_n100,1.0,1.0,1.0,1.0,1.0,1.2108900547027588
Extra_Trees_n200,1.0,1.0,1.0,1.0,1.0,2.442671775817871
Random_Forest_n50,1.0,1.0,1.0,1.0,1.0,1.1436500549316406
Random_Forest_n100,1.0,1.0,1.0,1.0,1.0,2.23077392578125
Random_Forest_n200,1.0,1.0,1.0,1.0,1.0,4.663290023803711
